YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,17,19,8.64,Marsabit ,2.3286,37.9837
2013,1,17,20,8.98,Marsabit ,2.3286,37.9837
2013,1,17,21,9.22,Marsabit ,2.3286,37.9837
2013,1,17,22,9.33,Marsabit ,2.3286,37.9837
2013,1,17,23,9.03,Marsabit ,2.3286,37.9837
2013,1,18,0,8.34,Marsabit ,2.3286,37.9837
2013,1,18,1,7.88,Marsabit ,2.3286,37.9837
2013,1,18,2,7.27,Marsabit ,2.3286,37.9837
2013,1,18,3,6.88,Marsabit ,2.3286,37.9837
2013,1,18,4,7.17,Marsabit ,2.3286,37.9837
2013,1,18,5,7.72,Marsabit ,2.3286,37.9837
2013,1,18,6,7.62,Marsabit ,2.3286,37.9837
2013,1,18,7,8.43,Marsabit ,2.3286,37.9837
2013,1,18,8,9.2,Marsabit ,2.3286,37.9837
2013,1,18,9,9.02,Marsabit ,2.3286,37.9837
2013,1,18,10,8.76,Marsabit ,2.3286,37.9837
2013,1,18,11,8.47,Marsabit ,2.3286,37.9837
2013,1,18,12,7.99,Marsabit ,2.3286,37.9837
2013,1,18,13,7.44,Marsabit ,2.3286,37.9837
2013,1,18,14,7.03,Marsabit ,2.3286,37.9837
2013,1,18,15,6.85,Marsabit ,2.3286,37.9837
2013,1,18,16,6.83,Marsabit ,2.3286,37.9837
2013,1,18,17,6.87,Marsabit ,2.3286,37.9837
2013,1,18,18,7.38,Marsabit ,2.3286,37.9837
2013,1,18,19,8.22,Marsabit ,2.3286,37.9837
2013,1,18,20,8.59,Marsabit ,2.3286,37.9837
2013,1,18,21,8.79,Marsabit ,2.3286,37.9837
2013,1,18,22,8.93,Marsabit ,2.3286,37.9837
2013,1,18,23,8.93,Marsabit ,2.3286,37.9837
2013,1,19,0,8.56,Marsabit ,2.3286,37.9837
2013,1,19,1,7.77,Marsabit ,2.3286,37.9837
2013,1,19,2,7.28,Marsabit ,2.3286,37.9837
2013,1,19,3,7.14,Marsabit ,2.3286,37.9837
2013,1,19,4,7.19,Marsabit ,2.3286,37.9837
2013,1,19,5,7.48,Marsabit ,2.3286,37.9837
2013,1,19,6,7.34,Marsabit ,2.3286,37.9837
2013,1,19,7,6.84,Marsabit ,2.3286,37.9837
2013,1,19,8,7.27,Marsabit ,2.3286,37.9837
2013,1,19,9,7.05,Marsabit ,2.3286,37.9837
2013,1,19,10,6.88,Marsabit ,2.3286,37.9837
2013,1,19,11,6.61,Marsabit ,2.3286,37.9837
2013,1,19,12,6.2,Marsabit ,2.3286,37.9837
2013,1,19,13,5.79,Marsabit ,2.3286,37.9837
2013,1,19,14,5.57,Marsabit ,2.3286,37.9837
2013,1,19,15,5.58,Marsabit ,2.3286,37.9837
2013,1,19,16,5.8,Marsabit ,2.3286,37.9837
